Temperature Sensor,Actual_Temperature Sensor
63.245778571076194,74.2
78.96649745562235,74.2
69.78772318906647,74.2
69.4326975552254,74.2
80.23948175795448,74.2
68.16769671644484,74.2
74.56644481052943,74.2
74.7748844542169,74.2
90.14754053452431,74.2
71.34048432412959,74.2
80.44637927149489,74.2
78.28892455118662,74.2
79.27618471727416,74.2
70.4826255299386,74.2
80.53968526773122,74.2
80.48814252229704,74.2
79.99013631738755,74.2
64.17503226019713,74.2
93.37631116365979,74.2
70.59618506771024,74.2
69.34696199365735,74.2
89.26366327529672,74.2
79.84833023846522,74.2
27.034474787605337,25.1
25.06386060265298,25.1
12.625435968910454,25.1
0.5146423373413547,25.1
42.49717789799281,25.1
25.28371730437631,25.1
22.655114201956305,25.1
18.611921608116536,25.1
25.321585655793847,11.0
4.377681694725353,11.0
2.135324596139146,11.0
0.0,11.0
27.236991584412223,11.0
16.599153793908886,11.0
19.224540054924294,11.0
0.0,11.0
43.57308746165707,11.0
13.24911033074141,11.0
83.49057346242144,79.4
79.88646534619316,79.4
75.55938238501248,79.4
84.1787295530271,79.4
79.4229790970391,79.4
86.39709165439895,79.4
78.42118695779277,79.4
98.70162215084142,79.4
79.8543809841145,79.4
100.0,79.4
82.55294854532598,79.4
66.57259704004883,79.4
78.16376515129605,79.4
72.72468874279416,79.4
100.0,100.0
100.0,100.0
89.56282659403135,100.0
95.54546658564041,100.0
99.8021736379312,100.0
87.73146487798884,100.0
100.0,100.0
100.0,100.0
99.94427526887587,100.0
96.61706550454296,100.0
96.47619385525363,100.0
99.83481375417857,100.0
82.61222812917788,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,99.6
90.52738765122538,99.6
100.0,99.6
100.0,99.6
95.24874966382028,99.6
100.0,99.6
100.0,99.6
98.12717796999141,99.6
100.0,97.9
96.60004389229837,97.9
100.0,97.9
94.54009610553294,97.9
79.83577986883658,97.9
94.14520736892756,97.9
97.70883670650319,97.9
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
94.77664984050548,100.0
94.75122461113028,100.0
96.88582371984306,100.0
100.0,100.0
100.0,100.0
83.96519983757454,72.5
75.92316430334283,72.5
67.55422578847912,72.5
55.583209000666145,72.5
67.92485045636903,72.5
70.93024164956626,72.5
69.46787773960526,72.5
67.75641900800991,72.5
58.19793497281425,72.5
87.9431308359349,72.5
65.91005750670843,65.5
60.587439072758826,65.5
70.08800806427703,65.5
94.16831488878485,65.5
53.827651549196005,65.5
68.95199870456868,65.5
65.91591384530918,65.5
56.296994120138024,65.5
79.53824052593606,65.5
79.6681811487004,65.5
77.7449983434159,65.5
67.65899157105012,65.5
52.76529022478286,65.5
12.516359984098608,25.3
21.118087500097943,25.3
31.530485159041127,25.3
10.161490045772418,25.3
18.746451590989334,25.3
36.33842812679534,25.3
39.52771043113418,25.3
36.486642430606025,25.3
11.158678989366097,25.3
19.203367020696327,25.3
28.123182585026655,25.3
5.574417225599274,25.3
0.0,7.7
11.629694436014429,7.7
0.0,7.7
0.6069227926192515,7.7
17.374677016711082,7.7
11.34875006988115,7.7
5.047380351678354,7.7
5.2779447823147025,7.7
0.0,7.7
16.592773634635755,7.7
10.777118213928002,7.7
0.0,7.7
0.0,7.7
13.927825755183422,7.7
58.03535664368748,54.3
52.27660271240157,54.3
38.54532877804213,54.3
42.94257278704323,54.3
71.25751136582086,54.3
56.641961918270674,54.3
61.38216652960413,54.3
56.035126242629374,54.3
65.75658525826616,54.3
47.615378217562416,54.3
66.45036638698443,54.3
55.31516695147976,54.3
44.58035229298635,54.3
52.68064526447711,54.3
35.94356817815241,54.3
66.64953673061385,54.3
54.55412683448485,54.3
32.55364275691036,54.3
53.24282806790315,54.3
59.061135867238384,54.3
50.31652272430806,54.3
64.4892194148573,54.3
42.30431785109319,54.3
51.88400166326726,54.3
60.508575343261036,54.3
55.927212129288456,54.3
57.27363801053624,54.3
65.07397062423094,54.3
46.101011659883554,54.3
56.43407583280388,54.3
41.570593384514666,54.3
46.31430105779478,54.3
72.74595912687637,54.3
66.09776883338454,54.3
55.74728377261994,54.3
55.9824492161322,60.5
44.04967926931182,60.5
54.23405320999444,60.5
69.79623445553024,60.5
60.39729607552862,60.5
70.33567847411393,60.5
47.756263241340086,60.5
63.9537952172906,60.5
51.52865273713488,60.5
59.109435304343116,60.5
65.63908267644871,60.5
61.320342191730724,60.5
51.93251874887883,60.5
66.43271102509338,60.5
60.24548091577555,60.5
65.1976134712954,60.5
56.39818432330547,60.5
54.3430210326597,60.5
84.63451583251,65.5
56.85769180632012,65.5
57.870063553389194,65.5
56.678691949131895,65.5
70.99382109307149,65.5
66.43609402775714,65.5
67.23534490114058,65.5
72.0435301992763,65.5
42.03800466029447,65.5
62.769430183506,65.5
100.0,100.0
99.7804773572562,100.0
100.0,100.0
100.0,100.0
75.7977383865944,100.0
93.88626951517925,100.0
94.03531905408643,100.0
100.0,100.0
87.66252828838299,100.0
94.93055099632949,96.8
94.14850080528042,96.8
95.15442259728428,96.8
100.0,96.8
100.0,96.8
84.25134221126626,96.8
97.8936198248443,96.8
100.0,96.8
89.42331373859267,96.8
96.11800461929998,96.8
88.11226880962009,94.7
100.0,94.7
100.0,94.7
98.03707204803479,94.7
90.8341439433984,94.7
96.83910885749123,94.7
100.0,94.7
100.0,94.7
95.77817527285424,98.0
100.0,98.0
92.79378403715924,98.0
84.4441793991037,98.0
94.43542292331226,98.0
80.59691745102081,98.0
100.0,98.0
100.0,98.0
92.56055059822069,98.0
100.0,98.0
87.49467777662736,98.0
89.84025433557044,98.0
100.0,98.0
100.0,98.0
93.61432006872977,98.0
100.0,94.0
88.8229300896011,94.0
86.76980626931609,94.0
82.18979264570157,94.0
100.0,94.0
80.25640266187274,94.0
100.0,94.0
90.35278228152379,94.0
84.80662164121854,94.0
91.65509127394219,94.0
86.00643585652712,94.0
99.84920197232076,94.0
83.54517472311612,94.0
95.13140697880266,94.0
82.35922612718988,94.0
90.08183358333298,94.0
100.0,94.0
12.106656726864616,18.2
16.88128812072791,18.2
26.015183156489954,18.2
5.729231604066254,18.2
11.604594094688206,18.2
25.56947766638467,18.2
30.42095547254625,18.2
35.63040069892534,18.2
22.766413110246877,18.2
4.597108560464863,18.2
27.75689868755683,18.2
0.0,18.2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
