timestamp,value,actual_value
2026-07-08T21:49:57.921872,100,100
2026-07-08T21:49:58.023360,94.83527431583992,100
2026-07-08T21:49:58.124900,100,100
2026-07-08T21:49:58.226210,97.47331188076555,100
2026-07-08T21:49:58.327960,100,100
2026-07-08T21:49:58.429798,99.8155701576742,100
2026-07-08T21:49:58.532582,88.56937805021742,100
2026-07-08T21:49:58.634068,88.83145875730749,100
2026-07-08T21:49:58.735564,97.82130014555737,100
2026-07-08T21:49:58.836869,100,100
2026-07-08T21:49:58.938540,90.73756543265368,100
2026-07-08T21:49:59.040753,100,100
2026-07-08T21:49:59.142897,97.19590511205624,100
2026-07-08T21:49:59.245717,100,100
2026-07-08T21:49:59.348446,100,100
2026-07-08T21:49:59.451054,100,100
2026-07-08T21:49:59.553355,100,100
2026-07-08T21:49:59.655029,89.92205001282075,100
2026-07-08T21:49:59.757237,100,100
2026-07-08T21:49:59.859755,99.69444380286754,100
2026-07-08T21:49:59.961685,94.41943533516593,100
2026-07-08T21:50:00.064187,100,100
2026-07-08T21:50:00.166154,100,100
2026-07-08T21:50:00.267984,100,100
2026-07-08T21:50:00.369459,100,100
2026-07-08T21:50:00.472067,81.52545554329542,100
2026-07-08T21:50:00.574713,100,100
2026-07-08T21:50:00.676417,100,100
2026-07-08T21:50:00.777479,99.3514439293565,100
2026-07-08T21:50:00.879042,100,100
2026-07-08T21:50:00.980817,98.36287518175435,100
2026-07-08T21:50:01.083340,90.64243653190816,100
2026-07-08T21:50:01.185534,95.20848817443132,100
2026-07-08T21:50:01.286224,92.64110661196773,100
2026-07-08T21:50:01.387021,92.73693507594983,100
2026-07-08T21:50:01.488964,91.98548848799268,100
2026-07-08T21:50:01.591205,100,100
2026-07-08T21:50:01.692307,100,100
2026-07-08T21:50:01.793887,100,100
2026-07-08T21:50:01.895646,100,100
2026-07-08T21:50:01.997701,100,100
2026-07-08T21:50:02.100053,100,100
2026-07-08T21:50:02.201966,92.62955090148759,100
2026-07-08T21:50:02.304001,98.77489322270004,91.5
2026-07-08T21:50:02.405743,100,91.5
2026-07-08T21:50:02.507377,100,91.5
2026-07-08T21:50:02.609008,100,91.5
2026-07-08T21:50:02.710567,100,91.5
2026-07-08T21:50:02.812082,91.91023124959378,91.5
2026-07-08T21:50:02.912655,91.46845326227326,91.5
2026-07-08T21:50:03.014351,100,91.5
2026-07-08T21:50:03.116579,100,91.5
2026-07-08T21:50:03.218877,100,91.5
2026-07-08T21:50:03.320437,99.89090786826145,91.5
2026-07-08T21:50:03.422593,82.00813011270458,91.5
2026-07-08T21:50:03.524185,100,91.5
2026-07-08T21:50:03.626447,92.15729748741944,91.5
2026-07-08T21:50:03.728092,94.72220552969654,91.5
2026-07-08T21:50:03.829635,89.57922456763934,91.5
2026-07-08T21:50:03.931494,99.99519996809096,91.5
2026-07-08T21:50:04.034641,97.54182387615927,91.5
2026-07-08T21:50:04.136438,81.78241787871094,91.5
2026-07-08T21:50:04.238991,90.44667265400145,91.5
2026-07-08T21:50:04.341292,98.27424231018338,91.5
2026-07-08T21:50:04.443032,78.4127563723239,91.5
2026-07-08T21:50:04.545422,100,91.5
2026-07-08T21:50:04.661421,98.55521207758291,91.5
2026-07-08T21:50:04.762959,93.38705674681884,91.5
2026-07-08T21:50:04.864437,95.34675294936595,91.5
2026-07-08T21:50:04.965958,98.46300583667158,91.5
2026-07-08T21:50:05.067556,74.0578488167339,91.5
2026-07-08T21:50:05.169535,69.51110758087734,91.5
2026-07-08T21:50:05.275518,86.63936748850071,87.7
2026-07-08T21:50:05.377189,100,87.7
2026-07-08T21:50:05.479121,83.32921434408634,87.7
2026-07-08T21:50:05.580760,67.91189308672745,87.7
2026-07-08T21:50:05.682596,92.16760344298375,87.7
2026-07-08T21:50:05.784154,70.99538171295342,87.7
2026-07-08T21:50:05.885792,91.58233203937954,87.7
2026-07-08T21:50:05.987572,98.0168818639086,87.7
2026-07-08T21:50:06.089818,90.05642556956691,87.7
2026-07-08T21:50:06.192070,92.52666244578434,87.7
2026-07-08T21:50:06.294541,95.75548051452112,87.7
2026-07-08T21:50:06.396847,87.43156740302831,87.7
2026-07-08T21:50:06.498979,84.63107805862286,87.7
2026-07-08T21:50:06.600987,78.90343478314318,87.7
2026-07-08T21:50:06.702847,86.23813844207979,87.7
2026-07-08T21:50:06.804528,92.15584034858328,87.7
2026-07-08T21:50:06.906253,88.05759470548203,87.7
2026-07-08T21:50:07.007783,87.58295451066066,87.7
2026-07-08T21:50:07.109600,97.38536212945249,84.5
2026-07-08T21:50:07.211204,89.37250189688643,84.5
2026-07-08T21:50:07.312758,76.8975839358015,84.5
2026-07-08T21:50:07.414510,89.90721422792895,84.5
2026-07-08T21:50:07.516711,69.53988445873397,84.5
2026-07-08T21:50:07.618817,96.72281633824583,84.5
2026-07-08T21:50:07.720466,87.25952240868807,84.5
2026-07-08T21:50:07.822649,88.39615749586261,84.5
2026-07-08T21:50:07.924236,100,84.5
2026-07-08T21:50:08.025742,69.92747949205214,84.5
2026-07-08T21:50:08.127267,85.77716293331318,84.5
2026-07-08T21:50:08.229006,91.89804597125404,84.5
2026-07-08T21:50:08.330747,83.52451732061401,81.5
2026-07-08T21:50:08.432459,80.59460616742743,81.5
2026-07-08T21:50:08.534055,81.98101982210304,81.5
2026-07-08T21:50:08.635679,74.8144259213032,81.5
2026-07-08T21:50:08.737567,72.06149139683173,81.5
2026-07-08T21:50:08.839971,83.82122849252524,81.5
